rotor_angle,electrical_angle,I_d,I_q,i_alpha,i_beta,i_a,i_b,i_c,torque
15.2,152,0,5,-4.414737964626301,2.34735781330568,-4.414737964626301,4.24018084863587,0.174557115990432,1.670478331051712
15.4,154,0,5,-4.49397023181552,2.191855733289936,-4.49397023181552,4.145132180936844,0.3488380508786755,1.713884255061816
15.6,156,0,5,-4.567727288518889,2.033683214691973,-4.567727288518889,4.045033308182694,0.5226939803361956,1.695219830125531
15.8,158,0,5,-4.635919273124196,1.873032966361146,-4.635919273124196,3.94000618543085,0.6959130876933457,1.679604749670442
16,160,0,5,-4.698463104202346,1.710100715878822,-4.698463104202346,3.830178772052232,0.8682843321501135,1.695110019462795
16.2,162,0,5,-4.75528258172929,1.545084971094477,-4.75528258172929,3.715684875832462,1.039597705896828,1.709735694022352
16.4,164,0,5,-4.806308479924013,1.378186778274455,-4.806308479924013,3.596663989947684,1.209644489976329,1.749469087740155
16.6,166,0,5,-4.851478631589485,1.20960947715807,-4.851478631589485,3.473261123013631,1.378217508575854,1.731353583157735
16.8,168,0,5,-4.890738003853816,1.039558453219437,-4.890738003853816,3.34562662241494,1.545111381438876,1.645119831235942
17,170,0,5,-4.924038765219333,0.8682408874369291,-4.924038765219333,3.213915991130047,1.710122774089286,1.601754448015623
17.2,172,0,5,-4.95134034383789,0.6958655038750601,-4.95134034383789,3.078289698274747,1.873050645563143,1.564844466427455
17.4,174,0,5,-4.972609476941416,0.5226423153863585,-4.972609476941416,2.938912983595295,2.033696493346122,1.590126261395992
17.6,176,0,5,-4.987820251367479,0.3487823677430738,-4.987820251367479,2.795955656149241,2.191864595218238,1.572302010027673
17.8,178,0,5,-4.996954135130474,0.1744974825103872,-4.996954135130474,2.649591887419232,2.347362247711241,1.666147341699191
18,180,0,5,-5,-1.025517142576656e-009,-5,2.499999999111902,2.500000000888098,1.654213720170717
